국가	행복도	경제적 여유도	사회 지원	건강	자유	관대함
Afghanistan	3.724	7.35	0.451	50.5	0.718	0.164
Afghanistan	4.402	7.509	0.552	50.8	0.679	0.187
Afghanistan	4.758	7.614	0.539	51.1	0.6	0.118
Afghanistan	3.832	7.581	0.521	51.4	0.496	0.16
Afghanistan	3.783	7.661	0.521	51.7	0.531	0.234
Afghanistan	3.572	7.68	0.484	52	0.578	0.059
Afghanistan	3.131	7.671	0.526	52.3	0.509	0.102
Afghanistan	3.983	7.654	0.529	52.6	0.389	0.078
Afghanistan	4.22	7.65	0.559	52.925	0.523	0.04
Afghanistan	2.662	7.648	0.491	53.25	0.427	-0.123
Afghanistan	2.694	7.631	0.508	53.575	0.374	-0.095
Afghanistan	2.375	7.64	0.42	53.9	0.394	-0.109
Afghanistan	2.436	7.325	0.454	54.55	0.394	-0.085
Afghanistan	1.281		0.228	54.875	0.368	
Afghanistan	1.446		0.368	55.2	0.228	
Albania	4.634	9.122	0.821	66.76	0.529	-0.013
Albania	5.485	9.241	0.833	67.32	0.525	-0.162
Albania	5.269	9.283	0.733	67.6	0.569	-0.176
Albania	5.867	9.31	0.759	67.88	0.487	-0.209
Albania	5.51	9.326	0.785	68.16	0.602	-0.173
Albania	4.551	9.338	0.759	68.44	0.632	-0.131
Albania	4.814	9.358	0.626	68.72	0.735	-0.029
Albania	4.607	9.382	0.639	69	0.704	-0.085
Albania	4.511	9.417	0.638	69.025	0.73	-0.021
Albania	4.64	9.455	0.638	69.05	0.75	-0.033
Albania	5.004	9.497	0.684	69.075	0.824	0.005
Albania	4.995	9.522	0.686	69.1	0.777	-0.103
Albania	5.365	9.494	0.71	69.125	0.754	0.002
Albania	5.255	9.588	0.702	69.15	0.827	0.039
Albania	5.212	9.649	0.724	69.175	0.802	-0.07
Albania	5.445	9.689	0.691	69.2	0.872	0.068
Algeria	5.464	9.306		65.5	0.593	-0.212
Algeria	5.317	9.316	0.81	65.6	0.53	-0.188
Algeria	5.605	9.33	0.839	65.7	0.587	-0.179
Algeria	6.355	9.355	0.818	65.9		
Algeria	5.341	9.383	0.749	66.1		
Algeria	5.249	9.377	0.807	66.2	0.437	-0.174
Algeria	5.043	9.37	0.799	66.3	0.583	-0.153
Algeria	4.745	9.361	0.803	66.4	0.385	-0.002
Algeria	5.438	9.291	0.868	66.5	0.574	-0.124
Algeria	5.217	9.308	0.841	66.6	0.558	-0.116
Algeria	5.538	9.323	0.783	66.7	0.44	-0.045
Angola	5.589	8.944	0.723	51.22	0.584	0.05
Angola	4.36	8.989	0.753	51.84	0.456	-0.141
Angola	3.937	9	0.722	52.46	0.41	-0.109
Angola	3.795	9.01	0.755	53.08	0.375	-0.173
Argentina	6.313	9.937	0.938	65.82	0.733	-0.162
Argentina	6.073	10.013	0.862	65.94	0.653	-0.146
Argentina	5.961	10.043	0.892	66.06	0.678	-0.137
Argentina	6.424	9.972	0.919	66.18	0.637	-0.135
Argentina	6.441	10.066	0.927	66.3	0.73	-0.132
Argentina	6.776	10.112	0.889	66.42	0.816	-0.18
Argentina	6.468	10.091	0.902	66.54	0.747	-0.153
Argentina	6.582	10.103	0.91	66.66	0.737	-0.136
Argentina	6.671	10.067	0.918	66.78	0.745	-0.17
Argentina	6.697	10.083	0.926	66.9	0.881	-0.18
Argentina	6.427	10.051	0.883	66.95	0.848	-0.198
Argentina	6.039	10.069	0.907	67	0.832	-0.192
Argentina	5.793	10.032	0.9	67.05	0.846	-0.216
Argentina	6.086	10.002	0.896	67.1	0.817	-0.217
Argentina	5.901	9.888	0.897	67.15	0.823	-0.131
Argentina	5.908	9.977	0.882	67.2	0.819	-0.014
Argentina	6.261	10.019	0.893	67.25	0.825	-0.13
Argentina	6.393	9.994	0.892	67.3	0.832	-0.129
Armenia	4.289	9.021	0.682	63.84	0.52	-0.235
Armenia	4.882	9.157	0.76	64.08	0.605	-0.255
Armenia	4.652	9.23	0.709	64.32	0.462	-0.219
Armenia	4.178	9.085	0.68	64.56	0.441	-0.218
Armenia	4.368	9.113	0.66	64.8	0.459	-0.18
Armenia	4.26	9.164	0.705	65.04	0.465	-0.23
Armenia	4.32	9.239	0.676	65.28	0.502	-0.22
Armenia	4.277	9.276	0.723	65.52	0.504	-0.201
Armenia	4.453	9.315	0.739	65.76	0.506	-0.225
Armenia	4.348	9.351	0.723	66	0.551	-0.209
Armenia	4.325	9.357	0.709	66.275	0.611	-0.178
Armenia	4.288	9.434	0.698	66.55	0.614	-0.155
Armenia	5.062	9.49	0.814	66.825	0.808	-0.171
Armenia	5.488	9.569	0.782	67.1	0.844	-0.181
Armenia	5.301	9.561	0.762	67.65	0.795	-0.159
Armenia	5.382	9.683	0.811	67.925	0.79	-0.158
Armenia	5.679	9.73	0.819	68.2	0.819	-0.179
Australia	7.341	10.662	0.968	69.8	0.935	
Australia	7.285	10.694	0.965	69.96	0.891	0.342
Australia	7.254	10.709	0.947	70.04	0.916	0.3
Australia	7.45	10.714	0.955	70.2	0.932	0.311
Australia	7.406	10.723	0.967	70.28	0.945	0.364
Australia	7.196	10.744	0.945	70.36	0.935	0.268
Australia	7.364	10.752	0.928	70.44	0.933	0.263
Australia	7.289	10.763	0.924	70.52	0.923	0.313
Australia	7.309	10.77	0.952	70.6	0.922	0.327
Australia	7.25	10.781	0.942	70.675	0.922	0.233
Australia	7.257	10.787	0.95	70.75	0.911	0.312
Australia	7.177	10.801	0.94	70.825	0.916	0.141
Australia	7.234	10.807	0.943	70.9	0.918	0.115
Australia	7.137	10.794	0.937	70.975	0.905	0.202
Australia	7.112	10.815	0.92	71.05	0.912	0.234
Australia	7.035	10.84	0.942	71.125	0.854	0.153
Australia	7.025	10.846	0.896	71.2	0.876	0.187
Austria	7.122	10.836	0.936	69.5	0.941	0.297
Austria	7.181	10.881	0.935	69.7	0.879	0.286
Austria	7.303	10.856	0.914	69.9	0.896	0.125
Austria	7.471	10.881	0.944	70	0.939	0.126
Austria	7.401	10.884	0.945	70.1	0.92	0.112
Austria	7.499	10.878	0.95	70.2	0.922	0.163
Austria	6.95	10.877	0.899	70.3	0.885	0.112
Austria	7.076	10.876	0.928	70.4	0.9	0.093
Austria	7.048	10.885	0.926	70.525	0.889	0.074
Austria	7.294	10.9	0.906	70.65	0.89	0.128
Austria	7.396	10.919	0.912	70.775	0.904	0.048
Austria	7.195	10.93	0.964	70.9	0.903	0.054
Austria	7.213	10.859	0.925	71.025	0.912	0.004
Austria	7.08	10.899	0.863	71.15	0.795	0.158
Austria	6.999	10.938	0.876	71.275	0.856	0.137
Austria	6.636	10.93	0.874	71.4	0.874	0.209
Azerbaijan	4.728	9.154	0.854	60.58	0.772	-0.239
Azerbaijan	4.568	9.366	0.753	60.86	0.522	-0.211
Azerbaijan	4.817	9.447	0.684	61.14	0.601	-0.034
Azerbaijan	4.574	9.515	0.736	61.42	0.498	-0.091
Azerbaijan	4.219	9.553	0.687	61.7	0.501	-0.128
Azerbaijan	4.68	9.541	0.725	61.98	0.537	-0.11
Azerbaijan	4.911	9.549	0.762	62.26	0.599	-0.146
Azerbaijan	5.481	9.592	0.77	62.54	0.672	-0.173
Azerbaijan	5.252	9.607	0.799	62.82	0.733	-0.214
Azerbaijan	5.147	9.606	0.786	63.1	0.764	-0.203
Azerbaijan	5.304	9.563	0.777	63.225	0.713	-0.21
Azerbaijan	5.152	9.555	0.787	63.35	0.731	-0.231
Azerbaijan	5.168	9.562	0.781	63.475	0.772	-0.237
Azerbaijan	5.173	9.578	0.887	63.6	0.854	-0.22
Azerbaijan	4.576	9.619	0.665	63.975	0.8	0.075
Azerbaijan	5.214	9.637	0.713	64.1	0.829	-0.16
Bahrain	5.701	10.714	0.904	64.76	0.896	0.031
Bahrain	5.937	10.728	0.877	65	0.862	-0.008
Bahrain	4.824	10.749	0.908	65.24	0.87	-0.061
Bahrain	5.027	10.775	0.911	65.48	0.682	
Bahrain	6.69	10.798	0.884	65.72	0.809	
Bahrain	6.165	10.802		65.96		
Bahrain	6.007	10.788	0.853	66.2	0.85	0.106
Bahrain	6.17	10.789	0.863	66.125	0.889	0.082
Bahrain	6.227	10.798	0.876	66.05	0.906	0.128
Bahrain	7.098	10.815	0.878	65.9	0.907	0.035
Bahrain	6.173	10.779	0.848	65.825	0.945	0.115
Bahrain	5.959	10.877	0.817	65.6	0.869	0.155
Bangladesh	4.319	7.94	0.672	59.12	0.612	0.052
Bangladesh	4.607	7.997	0.514	59.64	0.605	0.024
Bangladesh	5.052	8.047	0.467	60.16	0.606	-0.06
Bangladesh	5.083	8.087	0.528	60.68	0.631	-0.091
Bangladesh	4.858	8.13	0.549	61.2	0.659	-0.033
Bangladesh	4.986	8.181	0.606	61.72	0.838	-0.086
Bangladesh	4.724	8.231	0.582	62.24	0.668	-0.051
Bangladesh	4.66	8.277	0.53	62.76	0.742	-0.032
Bangladesh	4.636	8.323	0.577	63.28	0.736	-0.115
Bangladesh	4.633	8.375	0.601	63.8	0.815	-0.085
Bangladesh	4.556	8.431	0.649	63.925	0.875	-0.105
Bangladesh	4.31	8.483	0.713	64.05	0.896	-0.004
Bangladesh	4.499	8.542	0.706	64.175	0.901	-0.059
Bangladesh	5.114	8.607	0.673	64.3	0.902	-0.067
Bangladesh	5.28	8.629	0.739	64.425	0.777	-0.025
Bangladesh	4.123	8.685	0.485	64.55	0.893	0.089
Bangladesh	3.408	8.742	0.404	64.675	0.865	-0.058
Bangladesh	4.114	8.783	0.45	64.8	0.919	0.019
Belarus	5.658	9.489	0.918	60.06	0.707	-0.252
Belarus	5.617	9.576	0.858	60.62	0.667	-0.23
Belarus	5.463	9.677	0.904	61.18	0.64	-0.226
Belarus	5.564	9.681	0.908	61.74	0.679	-0.209
Belarus	5.526	9.759	0.918	62.3	0.7	-0.168
Belarus	5.225	9.813	0.91	62.86	0.656	-0.174
Belarus	5.749	9.832	0.902	63.42	0.645	-0.223
Belarus	5.876	9.842	0.923	63.98	0.723	-0.183
Belarus	5.812	9.858	0.88	64.54	0.647	-0.054
Belarus	5.719	9.818	0.924	65.1	0.623	-0.097
Belarus	5.178	9.792	0.927	65.325	0.658	-0.131
Belarus	5.553	9.818	0.9	65.55	0.621	-0.128
Belarus	5.234	9.851	0.905	65.775	0.644	-0.181
Belarus	5.821	9.867	0.917	66	0.657	-0.192
Belgium	7.262	10.744	0.935	68.4	0.924	
Belgium	7.219	10.791	0.922	68.72	0.901	0.064
Belgium	7.117	10.788	0.923	68.88	0.887	0.001
Belgium	6.854	10.778	0.931	69.2	0.807	0.016
Belgium	7.111	10.782	0.937	69.36	0.88	-0.02
Belgium	6.935	10.783	0.927	69.52	0.855	-0.056
Belgium	7.104	10.783	0.909	69.68	0.891	0.011
Belgium	6.855	10.794	0.944	69.84	0.861	-0.005
Belgium	6.904	10.809	0.885	70	0.869	0.056
Belgium	6.949	10.816	0.929	70.15	0.866	-0.062
Belgium	6.928	10.829	0.922	70.3	0.857	0.049
Belgium	6.892	10.842	0.93	70.45	0.808	-0.13
Belgium	6.772	10.859	0.884	70.6	0.776	-0.178
Belgium	6.839	10.799	0.904	70.75	0.767	-0.172
Belgium	6.882	10.856	0.915	70.9	0.823	0.077
Belgium	6.857	10.881	0.923	71.05	0.89	0.095
Belgium	6.944	10.883	0.896	71.2	0.87	0.065
Belize	6.451	9.192	0.872	64.3	0.705	0.006
Belize	5.956	9.135	0.757	65	0.874	-0.002
Benin	3.33	7.844	0.445	51.96	0.58	-0.015
Benin	3.667	7.891	0.382	52.48	0.709	-0.008
Benin	3.87	7.876	0.477	53.26	0.773	-0.145
Benin	3.193	7.894	0.523	53.52	0.769	-0.114
Benin	3.479	7.935	0.577	53.78	0.783	-0.088
Benin	3.347	7.967	0.506	54.04	0.776	-0.099
Benin	3.625	7.955	0.434	54.3	0.733	-0.029
Benin	4.007	7.958	0.493	54.6	0.78	-0.068
Benin	4.853	7.984	0.436	54.9	0.727	-0.068
Benin	5.82	8.02	0.504	55.2	0.713	0
Benin	4.976	8.057	0.442	55.5	0.77	-0.018
Benin	4.408	8.067	0.507	55.8	0.783	-0.086
Benin	4.493	8.108	0.436	56.1	0.724	-0.016
Benin	4.217	8.142	0.366	56.4	0.714	-0.033
Benin	4.42	8.174	0.398	56.7	0.786	-0.073
Bhutan	5.569	9.097	0.819	62.24	0.81	0.349
Bhutan	4.939	9.143	0.88	62.42	0.834	0.264
Bhutan	5.082	9.198	0.848	62.6	0.83	0.273
Bolivia	5.374	8.671	0.834	60.9	0.77	-0.048
Bolivia	5.628	8.698	0.796	61.1	0.78	-0.004
Bolivia	5.298	8.74	0.785	61.3	0.726	-0.096
Bolivia	6.086	8.756	0.831	61.5	0.779	-0.04
Bolivia	5.781	8.78	0.807	61.7	0.703	-0.073
Bolivia	5.779	8.813	0.817	61.9	0.782	-0.043
Bolivia	6.019	8.847	0.781	62.1	0.862	-0.019
Bolivia	5.767	8.896	0.803	62.3	0.846	-0.071
Bolivia	5.865	8.933	0.821	62.5	0.881	0.014
Bolivia	5.834	8.965	0.829	62.7	0.884	-0.034
Bolivia	5.77	8.991	0.796	62.85	0.882	-0.051
Bolivia	5.651	9.017	0.779	63	0.884	-0.124
Bolivia	5.916	9.044	0.827	63.15	0.863	-0.097
Bolivia	5.674	9.051	0.784	63.3	0.881	-0.09
Bolivia	5.559	8.946	0.805	63.45	0.877	-0.056
Bolivia	5.569	8.994	0.798	63.6	0.862	-0.058
Bolivia	5.929	9.012	0.824	63.75	0.865	-0.083
Bolivia	5.86	9.025	0.786	63.9	0.832	-0.059
Bosnia and Herzegovina	4.9	9.191	0.766	67	0.342	0.006
Bosnia and Herzegovina	4.963	9.246	0.735	67	0.258	-0.027
Bosnia and Herzegovina	4.669	9.272	0.773	67	0.365	-0.131
Bosnia and Herzegovina	4.995	9.3	0.725	67	0.333	-0.038
Bosnia and Herzegovina	4.773	9.31	0.779	67	0.42	-0.016
Bosnia and Herzegovina	5.124	9.349	0.767	67	0.39	0.039
Bosnia and Herzegovina	5.249	9.373	0.788	67	0.412	0.229
Bosnia and Herzegovina	5.117	9.428	0.656	67	0.631	-0.058
Bosnia and Herzegovina	5.181	9.473	0.808	67.05	0.633	0.13
Bosnia and Herzegovina	5.09	9.517	0.775	67.1	0.564	0.087
Bosnia and Herzegovina	5.887	9.566	0.836	67.15	0.659	0.118
Bosnia and Herzegovina	6.016	9.606	0.873	67.2	0.722	0.074
Bosnia and Herzegovina	5.516	9.588	0.899	67.25	0.74	0.132
Bosnia and Herzegovina	5.749	9.674	0.86	67.3	0.759	0.274
Bosnia and Herzegovina	5.872	9.723	0.856	67.35	0.743	0.191
Bosnia and Herzegovina	6.009	9.759	0.879	67.4	0.847	0.241
Botswana	4.739	9.495	0.883	48.84	0.824	-0.201
Botswana	5.451	9.543	0.832	49.72	0.858	-0.167
Botswana	3.553	9.446	0.866	50.6	0.826	-0.141
Botswana	3.52	9.492	0.86	51.04	0.813	-0.248
Botswana	4.836	9.471	0.837	51.48	0.799	-0.197
Botswana	4.128	9.557	0.856	51.92	0.767	-0.148
Botswana	4.031	9.593	0.859	52.36	0.791	-0.099
Botswana	3.762	9.524	0.816	52.8	0.857	-0.108
Botswana	3.499	9.573	0.768	53.075	0.852	-0.246
Botswana	3.505	9.593	0.768	53.35	0.817	-0.242
Botswana	3.461	9.613	0.795	53.625	0.818	-0.248
Botswana	3.471	9.624	0.774	53.9	0.833	-0.233
Botswana	3.435	9.65	0.75	54.725	0.739	-0.218
Botswana	3.332	9.673	0.701	55	0.741	-0.264
Brazil	6.637	9.435	0.883	63.1	0.882	
Brazil	6.321	9.512	0.886	63.42	0.777	-0.022
Brazil	6.691	9.552	0.878	63.58	0.782	-0.083
Brazil	7.001	9.541	0.913	63.74	0.767	-0.061
Brazil	6.837	9.604	0.906	63.9	0.806	-0.059
Brazil	7.038	9.634	0.916	64.06	0.834	-0.078
Brazil	6.66	9.644	0.89	64.22	0.849	
Brazil	7.14	9.665	0.91	64.38	0.785	-0.1
Brazil	6.981	9.661	0.898	64.54	0.714	-0.121
Brazil	6.547	9.617	0.907	64.7	0.799	-0.021
Brazil	6.375	9.575	0.912	64.875	0.807	-0.106
Brazil	6.333	9.58	0.905	65.05	0.765	-0.181
Brazil	6.191	9.59	0.882	65.225	0.751	-0.123
Brazil	6.451	9.595	0.899	65.4	0.83	-0.068
Brazil	6.11	9.555	0.831	65.575	0.786	-0.061
Brazil	6.01	9.598	0.814	65.75	0.792	0.086
Brazil	6.257	9.622	0.866	65.925	0.83	-0.064
Brazil	6.553	9.635	0.856	66.1	0.87	-0.036
Bulgaria	3.844	9.746	0.832	64.78	0.566	-0.146
Bulgaria	3.912	9.807	0.843	65.2	0.545	-0.153
Bulgaria	3.875	9.834	0.86	65.34	0.664	-0.236
Bulgaria	4.222	9.848	0.838	65.48	0.641	-0.181
Bulgaria	3.993	9.848	0.829	65.62	0.603	-0.199
Bulgaria	4.438	9.863	0.886	65.76	0.576	-0.062
