일자	축제 명	성별	연령대	현지인 관광객 수(성별_연령)	외지인 관광객 수(성별_연령)	국적명	외국인 관광객 수(국적)	시간대	현지인 관광객 수(시간대)	외지인 관광객 수(시간대)	외국인 관광객 수(시간대)
2019-09-26	보은대추축제	남자	10대	634	125						
2019-09-26	보은대추축제	남자	10대이하	19	2						
2019-09-26	보은대추축제	남자	20대	272	317						
2019-09-26	보은대추축제	남자	30대	476	267						
2019-09-26	보은대추축제	남자	40대	652	311						
2019-09-26	보은대추축제	남자	50대	936	514						
2019-09-26	보은대추축제	남자	60대	539	330						
2019-09-26	보은대추축제	남자	70대이상	318	81						
2019-09-26	보은대추축제	여자	10대	310	191						
2019-09-26	보은대추축제	여자	10대이하	39	24						
2019-09-26	보은대추축제	여자	20대	255	227						
2019-09-26	보은대추축제	여자	30대	396	176						
2019-09-26	보은대추축제	여자	40대	598	254						
2019-09-26	보은대추축제	여자	50대	875	262						
2019-09-26	보은대추축제	여자	60대	609	190						
2019-09-26	보은대추축제	여자	70대이상	257	65						
2019-09-26	보은대추축제					독일	2				
2019-09-26	보은대추축제					말레이시아	3				
2019-09-26	보은대추축제					미국	1				
2019-09-26	보은대추축제							새벽	959	508	0
2019-09-26	보은대추축제							야간	667	376	1
2019-09-26	보은대추축제							오전	1397	611	2
2019-09-26	보은대추축제							오후	1571	731	0
2019-09-26	보은대추축제							저녁	1254	479	1
2019-09-26	보은대추축제							점심	1337	631	2
2019-09-27	보은대추축제	남자	10대	607	159						
2019-09-27	보은대추축제	남자	10대이하	11	2						
2019-09-27	보은대추축제	남자	20대	314	466						
2019-09-27	보은대추축제	남자	30대	491	279						
2019-09-27	보은대추축제	남자	40대	672	631						
2019-09-27	보은대추축제	남자	50대	996	829						
2019-09-27	보은대추축제	남자	60대	615	529						
2019-09-27	보은대추축제	남자	70대이상	293	107						
2019-09-27	보은대추축제	여자	10대	363	170						
2019-09-27	보은대추축제	여자	10대이하	29	12						
2019-09-27	보은대추축제	여자	20대	215	263						
2019-09-27	보은대추축제	여자	30대	441	204						
2019-09-27	보은대추축제	여자	40대	614	396						
2019-09-27	보은대추축제	여자	50대	938	538						
2019-09-27	보은대추축제	여자	60대	692	288						
2019-09-27	보은대추축제	여자	70대이상	179	118						
2019-09-27	보은대추축제					미국	1				
2019-09-27	보은대추축제							새벽	908	649	0
2019-09-27	보은대추축제							야간	818	788	0
2019-09-27	보은대추축제							오전	1280	620	0
2019-09-27	보은대추축제							오후	1656	1127	0
2019-09-27	보은대추축제							저녁	1527	979	1
2019-09-27	보은대추축제							점심	1281	828	0
2019-09-28	보은대추축제	남자	10대	426	273						
2019-09-28	보은대추축제	남자	10대이하	29	20						
2019-09-28	보은대추축제	남자	20대	318	495						
2019-09-28	보은대추축제	남자	30대	412	559						
2019-09-28	보은대추축제	남자	40대	730	1236						
2019-09-28	보은대추축제	남자	50대	1033	1613						
2019-09-28	보은대추축제	남자	60대	479	936						
2019-09-28	보은대추축제	남자	70대이상	219	230						
2019-09-28	보은대추축제	여자	10대	415	366						
2019-09-28	보은대추축제	여자	10대이하	59	85						
2019-09-28	보은대추축제	여자	20대	212	421						
2019-09-28	보은대추축제	여자	30대	302	516						
2019-09-28	보은대추축제	여자	40대	581	850						
2019-09-28	보은대추축제	여자	50대	824	1301						
2019-09-28	보은대추축제	여자	60대	523	600						
2019-09-28	보은대추축제	여자	70대이상	129	211						
2019-09-28	보은대추축제					태국	4				
2019-09-28	보은대추축제							새벽	902	1468	0
2019-09-28	보은대추축제							야간	821	1189	0
2019-09-28	보은대추축제							오전	1072	1485	0
2019-09-28	보은대추축제							오후	1447	2206	2
2019-09-28	보은대추축제							저녁	1332	1477	0
2019-09-28	보은대추축제							점심	1117	1887	2
2019-09-29	보은대추축제	남자	10대	423	255						
2019-09-29	보은대추축제	남자	10대이하	28	48						
2019-09-29	보은대추축제	남자	20대	322	467						
2019-09-29	보은대추축제	남자	30대	321	595						
2019-09-29	보은대추축제	남자	40대	676	992						
2019-09-29	보은대추축제	남자	50대	831	1378						
2019-09-29	보은대추축제	남자	60대	318	960						
2019-09-29	보은대추축제	남자	70대이상	211	206						
2019-09-29	보은대추축제	여자	10대	323	230						
2019-09-29	보은대추축제	여자	10대이하	28	60						
2019-09-29	보은대추축제	여자	20대	201	487						
2019-09-29	보은대추축제	여자	30대	357	600						
2019-09-29	보은대추축제	여자	40대	438	798						
2019-09-29	보은대추축제	여자	50대	617	1185						
2019-09-29	보은대추축제	여자	60대	401	511						
2019-09-29	보은대추축제	여자	70대이상	83	148						
2019-09-29	보은대추축제					대만	5				
2019-09-29	보은대추축제					미국	1				
2019-09-29	보은대추축제					중국	4				
2019-09-29	보은대추축제					태국	12				
2019-09-29	보은대추축제							새벽	1007	2372	0
2019-09-29	보은대추축제							야간	577	335	0
2019-09-29	보은대추축제							오전	937	2006	2
2019-09-29	보은대추축제							오후	1171	1708	3
2019-09-29	보은대추축제							저녁	999	594	1
2019-09-29	보은대추축제							점심	887	1905	16
2019-09-30	보은대추축제	남자	10대	643	100						
2019-09-30	보은대추축제	남자	10대이하	27	3						
2019-09-30	보은대추축제	남자	20대	315	178						
2019-09-30	보은대추축제	남자	30대	406	203						
2019-09-30	보은대추축제	남자	40대	704	350						
2019-09-30	보은대추축제	남자	50대	908	445						
2019-09-30	보은대추축제	남자	60대	569	517						
2019-09-30	보은대추축제	남자	70대이상	311	152						
2019-09-30	보은대추축제	여자	10대	303	101						
